Imatest,2020.2.0, , Multicharts
File,colortone_example.jpg
Run date,23-Oct-2020 17:30:33,,Build 2020-09-30
Color space,sRGB
Reference,X-Rite default old: Color space Wt Pt
Pixel offset,0

Gamma, 0.518
mean patch size pxls, 155, 155
Exposure error, -0.0316,f-stops

'Densities' are -log10(normalized pixel levels) for Y R G and B channels; RGBY means in pixels (max 255). (for Dynamic Range) 
Zone,(-)Log(exp),Y-density,R-density,G-density,B-density,Y-mean, R-mean, G-mean, B-mean, WB Err Deg,WB Err Mired,WB ERR S(HSV),WB Delta-C ab,WB Delta-C 94,WB Delta-C 00
22,  0.7176,,  0.3058,  0.3091,  0.3076,, 126.1, 125.2, 125.6,     0,   0.0, 0.000,  0.00,  0.00,  0.00
23,  1.0534,,  0.4630,  0.4594,  0.4606,,  87.8,  88.5,  88.3,     0,   0.0, 0.000,  0.00,  0.00,  0.00
24,  1.5074,,  0.6664,  0.6748,  0.6326,,  55.0,  53.9,  59.4,     0,   0.0, 0.000,  0.00,  0.00,  0.00

Noise (normalized to maximum) and f-stop noise and SNR (scene-referenced). For Dynamic Range (post-processor).
,Noise norml to 1.5 density range (B-E);,,,,Noise normalized to maximum (F-I);,,,,,f-stop noise (scene-referenced) (K-N);,,,,f-stop Signal/Noise (scene-ref) (O-R)
Zone,Y-noise,R-noise,G-noise,B-noise,Y-noise,R-noise,G-noise,B-noise,,Y-fstopN,R-fstopN,G-fstopN,B-fstopN,Y-fst_S/N,R-fst_S/N,G-fst_S/N,B-fst_S/N
19,   0.000,  0.000,  0.000,  0.000,   0.191,  0.727,  0.077,  0.505,,   0.0068,  0.0259,  0.0028,  0.0180,   147.13,   38.61,  363.43,   55.59
20,   0.000,  0.000,  0.000,  0.000,   0.536,  0.692,  0.595,  0.595,,   0.0212,  0.0274,  0.0235,  0.0235,    47.17,   36.56,   42.48,   42.50
21,   0.000,  0.000,  0.000,  0.000,   0.558,  0.739,  0.613,  0.585,,   0.0276,  0.0366,  0.0304,  0.0290,    36.18,   27.32,   32.90,   34.49
22,   0.000,  0.000,  0.000,  0.000,   0.738,  0.966,  0.774,  0.729,,   0.0480,  0.0629,  0.0504,  0.0474,    20.83,   15.91,   19.85,   21.08
23,   0.000,  0.000,  0.000,  0.000,   1.280,  1.515,  1.331,  1.233,,   0.1209,  0.1430,  0.1257,  0.1165,     8.27,    6.99,    7.95,    8.59
24,   0.000,  0.000,  0.000,  0.000,   2.185,  2.642,  2.371,  1.793,,   0.2484,  0.3003,  0.2696,  0.2038,     4.03,    3.33,    3.71,    4.91

S/N (signal/noise) and SNR(dB) (20*log10(signal/noise)) for each grayscale patch
Zone,Y-S/N,R-S/N,G-S/N,B-S/N,Y-SNR(dB),R-SNR(dB),G-SNR(dB),B-SNR(dB),Lux (patch)
19, 445.86, 118.09,1098.77, 167.74,  52.98,  41.44,  60.82,  44.49
20, 134.11, 106.76, 119.65, 122.28,  42.55,  40.57,  41.56,  41.75
21, 104.45,  81.67,  93.85, 100.95,  40.38,  38.24,  39.45,  40.08
22,  54.63,  44.75,  50.88,  55.82,  34.75,  33.02,  34.13,  34.94
23,  16.19,  14.74,  15.20,  16.97,  24.18,  23.37,  23.64,  24.59
24,   3.50,   3.11,   3.09,   5.06,  10.88,   9.86,   9.80,  14.08


Dynamic Range for quality levels corresponding to scene-referenced S/N
Scene-ref S/N,Quality,DR (f-stops),DR (dB)
10,High,2.93,17.6

SNR_BW (dB; RGBY), 38.2, 40.1, 40.6, 40.5,White-Black SNR (W-B density difference = 1.5), 20*log10((W-B)/(mid level noise))
Noise analysis, Grayscale patches sorted dark to light
Sequence (dark-light),1,2,3,4,5,6
Patch number,19,20,21,22,23,24
(-)Log exposure,   1.51,   1.05,   0.72,   0.44,   0.23,   0.04
R noise,  0.0264,  0.0151,  0.0097,  0.0074,  0.0069,  0.0073
G noise,  0.0237,  0.0133,  0.0077,  0.0061,  0.0060,  0.0008
B noise,  0.0179,  0.0123,  0.0073,  0.0059,  0.0060,  0.0050
Y (Luminance) noise,  0.0219,  0.0128,  0.0074,  0.0056,  0.0054,  0.0019
Y_Kelly-Keelan noise,  0.0219,  0.0128,  0.0074,  0.0056,  0.0054,  0.0019
R - Y_kk noise,  0.0176,  0.0086,  0.0061,  0.0055,  0.0051,  0.0055
B - Y_kk noise,  0.0110,  0.0050,  0.0046,  0.0043,  0.0049,  0.0043
L* noise,  2.5091,  1.3696,  0.7404,  0.5303,  0.4897,  0.1659
a* noise,  3.0421,  1.3569,  0.9297,  0.7985,  0.7576,  0.7126
b* noise,  1.9059,  0.7914,  0.6797,  0.6073,  0.6671,  0.5565
Total noise (K-K),  0.0240,  0.0137,  0.0082,  0.0064,  0.0062,  0.0037
Chroma noise (K-K),  0.0099,  0.0048,  0.0035,  0.0032,  0.0031,  0.0032
Total noise (ISO 12232),  0.0264,  0.0147,  0.0090,  0.0073,  0.0070,  0.0051
Total L*a*b* noise unwtd,  4.3798,  2.0841,  1.3691,  1.1348,  1.1219,  0.9192
Total a*b* noise unwtd,  3.5898,  1.5708,  1.1516,  1.0032,  1.0094,  0.9041

ISO 15739 SNR and Dynamic Range
ISO 15739 noise %,   0.82,   0.55,   0.45,   0.54,   0.80,   0.34,
ISO 15739 S/N,    0.82,    6.40,   29.79,   55.17,   59.43,  204.86,
ISO 15739 noise % @ 13% Lref,    0.47
ISO 15739 S/N @ 13% Lref,   24.92
ISO 15739 Dyn Rng @ density 2,  174.54
ISO 15739 Dyn Rng total,    44.66
Dynamic Range from slope OD,    1.42
Dynamic Range from slope EV,    4.73

RGB values for reference and input patches
Patch,R ref,G ref,B ref,R input,G input,B input, Row, Column,Width px, Height px, Pixels total,, Rref/255, Gref/255, Bref/255
  1, 113.95,  80.75,  67.46, 104.54,  54.62,  43.43,1,1,156,154,24024,,  0.447,  0.317,  0.265
  2, 194.81, 147.97, 127.70, 179.60, 122.48, 108.01,1,2,156,153,23868,,  0.764,  0.580,  0.501
  3,  92.95, 122.35, 155.98,  27.87,  89.02, 130.21,1,3,156,153,23868,,  0.364,  0.480,  0.612
  4,  90.53, 107.72,  64.48,  66.47,  74.40,  26.87,1,4,156,154,24024,,  0.355,  0.422,  0.253
  5, 129.32, 127.96, 176.25,  95.48,  98.87, 153.47,1,5,156,153,23868,,  0.507,  0.502,  0.691
  6,  97.42, 190.91, 170.74,  65.47, 170.37, 154.65,1,6,156,153,23868,,  0.382,  0.749,  0.670
  7, 221.00, 122.65,  47.66, 208.64, 108.25,  31.87,2,1,156,153,23868,,  0.867,  0.481,  0.187
  8,  70.66,  90.80, 170.25,   2.80,  54.54, 147.38,2,2,156,153,23868,,  0.277,  0.356,  0.668
  9, 193.35,  82.08,  97.31, 193.51,  43.89,  67.39,2,3,156,153,23868,,  0.758,  0.322,  0.382
 10,  92.06,  57.43, 106.43,  71.67,  17.15,  81.76,2,4,156,153,23868,,  0.361,  0.225,  0.417
 11, 160.31, 189.16,  61.80, 166.33, 168.25,  45.68,2,5,157,153,24021,,  0.629,  0.742,  0.242
 12, 228.31, 160.61,  41.36, 220.59, 148.99,  27.20,2,6,156,153,23868,,  0.895,  0.630,  0.162
 13,  39.51,  62.85, 146.96,   2.05,  27.48, 124.65,3,1,156,154,24024,,  0.155,  0.246,  0.576
 14,  70.73, 149.82,  72.58,  67.46, 134.61,  53.45,3,2,156,153,23868,,  0.277,  0.588,  0.285
 15, 173.58,  50.69,  56.98, 187.82,  21.48,  24.47,3,3,156,154,24024,,  0.681,  0.199,  0.223
 16, 236.55, 198.15,  19.57, 230.63, 178.38,  18.64,3,4,156,153,23868,,  0.928,  0.777,  0.077
 17, 188.08,  83.87, 151.45, 194.20,  47.75, 138.49,3,5,156,153,23868,,  0.738,  0.329,  0.594
 18,   0.00, 137.76, 168.32,   1.39, 122.90, 155.93,3,6,156,154,24024,,  0.000,  0.540,  0.660
 19, 244.79, 245.32, 242.37, 218.77, 216.26, 215.84,4,1,156,153,23868,,  0.960,  0.962,  0.950
 20, 200.43, 202.24, 202.28, 188.32, 181.66, 185.57,4,2,157,153,24021,,  0.786,  0.793,  0.793
 21, 160.85, 162.84, 163.19, 153.82, 146.79, 150.64,4,3,156,154,24024,,  0.631,  0.639,  0.640
 22, 120.81, 121.16, 121.53, 110.22, 100.45, 103.77,4,4,156,153,23868,,  0.474,  0.475,  0.477
 23,  82.60,  84.08,  85.79,  56.93,  51.59,  53.38,4,5,156,153,23868,,  0.324,  0.330,  0.336
 24,  48.72,  49.35,  50.73,  20.95,  18.70,  23.13,4,6,156,154,24024,,  0.191,  0.194,  0.199


CIELAB and xyY values for reference and input patches
Patch,L* ref,a* ref,b* ref,L* input,a* input, b* input, x ref,y ref,Y ref,x input,y input, Y input, Patch, Row, Col
  1,  37.54,  12.02,  13.33,  29.03,  20.97,  16.84,  0.3969, 0.3586, 0.0983, 0.4592, 0.3552, 0.0585,  1,1,1
  2,  65.20,  14.82,  17.55,  56.86,  20.45,  16.93,  0.3837, 0.3565, 0.3430, 0.4025, 0.3504, 0.2478,  2,1,2
  3,  50.37,  -1.57, -21.43,  36.00,  -4.19, -28.59,  0.2488, 0.2662, 0.1873, 0.2043, 0.2275, 0.0901,  3,1,3
  4,  43.13, -14.63,  22.12,  29.92, -11.21,  26.71,  0.3433, 0.4313, 0.1324, 0.3773, 0.4729, 0.0620,  4,1,4
  5,  55.34,  11.45, -25.29,  43.76,  12.65, -30.20,  0.2673, 0.2520, 0.2326, 0.2465, 0.2246, 0.1367,  5,1,5
  6,  71.36, -32.72,   1.64,  63.66, -33.86,  -0.85,  0.2605, 0.3601, 0.4271, 0.2481, 0.3565, 0.3238,  6,1,6
  7,  61.37,  32.88,  55.16,  56.47,  34.88,  56.38,  0.5082, 0.4032, 0.2967, 0.5253, 0.4023, 0.2439,  7,2,1
  8,  40.71,  16.91, -45.09,  26.23,  24.26, -54.88,  0.2090, 0.1799, 0.1169, 0.1675, 0.1211, 0.0482,  8,2,2
  9,  49.86,  45.93,  13.88,  43.67,  59.03,  23.79,  0.4619, 0.3099, 0.1830, 0.5417, 0.3066, 0.1361,  9,2,3
 10,  30.15,  24.91, -22.61,  17.35,  35.30, -26.83,  0.2906, 0.2146, 0.0630, 0.2928, 0.1595, 0.0238, 10,2,4
 11,  72.44, -27.46,  58.47,  66.85, -15.44,  59.12,  0.3770, 0.4964, 0.4431, 0.4057, 0.4874, 0.3644, 11,2,5
 12,  70.92,  15.58,  66.54,  67.19,  18.11,  67.20,  0.4750, 0.4423, 0.4207, 0.4864, 0.4414, 0.3688, 12,2,6
 13,  29.62,  21.43, -49.03,  16.95,  33.46, -55.95,  0.1864, 0.1438, 0.0608, 0.1585, 0.0884, 0.0229, 13,3,1
 14,  55.64, -40.76,  33.27,  50.32, -37.79,  36.51,  0.3038, 0.4887, 0.2356, 0.3162, 0.5090, 0.1869, 14,3,2
 15,  40.55,  49.97,  25.46,  40.07,  61.27,  44.29,  0.5361, 0.3224, 0.1159, 0.6147, 0.3284, 0.1129, 15,3,3
 16,  80.98,  -1.04,  80.03,  75.43,   6.67,  75.75,  0.4497, 0.4767, 0.5844, 0.4644, 0.4646, 0.4897, 16,3,4
 17,  51.01,  49.88, -16.93,  46.23,  64.33, -16.37,  0.3672, 0.2396, 0.1927, 0.4045, 0.2233, 0.1544, 17,3,5
 18,  52.12, -24.61, -26.18,  47.68, -16.35, -25.79,  0.1964, 0.2687, 0.2025, 0.2058, 0.2604, 0.1655, 18,3,6
 19,  96.54,  -0.69,   1.35,  86.61,   0.78,   0.50,  0.3142, 0.3320, 0.9131, 0.3148, 0.3295, 0.6922, 19,4,1
 20,  81.27,  -0.61,  -0.24,  74.56,   3.07,  -1.15,  0.3113, 0.3290, 0.5897, 0.3153, 0.3240, 0.4758, 20,4,2
 21,  66.79,  -0.65,  -0.43,  61.55,   3.31,  -1.11,  0.3106, 0.3285, 0.3635, 0.3163, 0.3231, 0.2988, 21,4,3
 22,  50.87,  -0.06,  -0.25,  43.54,   4.51,  -0.48,  0.3119, 0.3283, 0.1916, 0.3225, 0.3220, 0.1352, 22,4,4
 23,  35.68,  -0.22,  -1.21,  22.12,   2.75,  -0.28,  0.3076, 0.3246, 0.0884, 0.3221, 0.3224, 0.0355, 23,4,5
 24,  20.48,   0.05,  -0.97,   6.11,   1.99,  -2.50,  0.3077, 0.3235, 0.0311, 0.3034, 0.2968, 0.0068, 24,4,6


Color errors for reference vs input patches
Patch,Delta-E*,Delta-C,Delta-E*94,Delta-C 94,Delta-E 00,Delta-C 00,Row,Column
  1,  12.84,   9.62,  10.23,   5.67,   9.03,   5.88,1,1
  2,  10.08,   5.66,   9.13,   3.71,   8.36,   4.19,1,2
  3,  16.26,   7.63,  14.91,   4.01,  13.97,   4.49,1,3
  4,  14.39,   5.72,  13.76,   3.86,  11.74,   3.88,1,4
  5,  12.64,   5.06,  11.81,   2.30,  11.85,   2.56,1,5
  6,   8.18,   2.74,   7.90,   1.74,   6.38,   1.72,1,6
  7,   5.42,   2.34,   4.95,   0.76,   4.45,   0.85,2,1
  8,  18.97,  12.25,  15.07,   4.15,  12.01,   2.77,2,2
  9,  17.56,  16.43,   8.44,   5.73,   7.98,   5.23,2,3
 10,  17.01,  11.21,  13.67,   4.80,  10.20,   4.37,2,4
 11,  13.28,  12.04,   8.14,   5.92,   7.69,   6.35,2,5
 12,   4.55,   2.61,   3.91,   1.17,   3.26,   1.47,2,6
 13,  18.80,  13.88,  13.78,   5.39,  10.34,   4.93,3,1
 14,   6.90,   4.39,   5.86,   2.45,   5.61,   2.11,3,2
 15,  21.96,  21.96,   7.80,   7.78,   7.51,   7.49,3,3
 16,  10.42,   8.82,   6.66,   3.68,   6.11,   4.69,3,4
 17,  15.23,  14.47,   6.78,   4.82,   6.36,   4.24,3,5
 18,   9.39,   8.27,   6.37,   4.57,   6.18,   4.31,3,6
 19,  10.07,   1.70,  10.06,   1.66,   6.56,   2.33,4,1
 20,   7.71,   3.79,   7.68,   3.72,   7.05,   5.21,4,2
 21,   6.60,   4.01,   6.55,   3.93,   7.07,   5.57,4,3
 22,   8.64,   4.57,   8.61,   4.53,   9.34,   5.99,4,4
 23,  13.91,   3.11,  13.90,   3.03,  11.21,   4.30,4,5
 24,  14.57,   2.47,  14.56,   2.38,   9.77,   3.02,4,6
,Delta-E*,Delta-C,Delta-E*94,Delta-C 94,Delta-E 00,Delta-C 00
Mean,  12.31,   7.70,   9.60,   3.82,   8.33,   4.08
Maximum,  21.96,  21.96,  15.07,   7.78,  13.97,   7.49,
Additional color errors and values
Patch,Delta-L*,Delta-Chroma,|Delta-Hue dist|,|Delta-Hue degs|,,Note: Delta-Hue is undefined for grayscale patches (a* & b* near 0)
  1,  -8.51,   8.95,   3.52,  -9.19
  2,  -8.34,   3.58,   4.38, -10.18
  3, -14.36,   7.41,   1.80,  -4.15
  4, -13.20,   2.45,   5.17, -10.70
  5, -11.58,   4.98,   0.86,  -1.63
  6,  -7.70,   1.11,   2.50,   4.31
  7,  -4.89,   2.09,   1.07,  -0.94
  8, -14.48,  11.86,   3.09,   3.29
  9,  -6.19,  15.66,   4.96,   5.14
 10, -12.80,  10.69,   3.35,   4.98
 11,  -5.59,  -3.49,  11.53, -10.53
 12,  -3.73,   1.26,   2.29,  -1.90
 13, -12.68,  11.69,   7.49,   7.27
 14,  -5.32,  -0.07,   4.39,  -4.79
 15,  -0.48,  19.52,  10.06,   8.86
 16,  -5.55,  -3.99,   7.86,  -5.78
 17,  -4.77,  13.71,   4.62,   4.47
 18,  -4.44,  -5.39,   6.27,  10.87
 19,  -9.92,  -0.60,   0.00,   0.00
 20,  -6.72,   2.62,   0.00,   0.00
 21,  -5.24,   2.71,   0.00,   0.00
 22,  -7.33,   4.28,   0.00,   0.00
 23, -13.56,   1.54,   0.00,   0.00
 24, -14.36,   2.22,   0.00,   0.00
,Delta-L*,Delta-Chroma,|Delta-Hue dist|,|Delta-Hue degs|
Mean,  -8.41,   4.78,   3.55,   4.54,Maximum,  -0.48,  19.52,  11.53,  10.87,
Mean camera chroma %,114.1

Mean chroma level CPIQ %,112.6
CPIQ Chroma quality loss,0.986

Color matrix: R x C, 3, 3, RGB->RGB
 0.740911,-0.002235,-0.004110
 0.272526, 1.170453, 0.193535
 0.021225,-0.037677, 0.903565

Color matrix: RGB->XYZ
 0.30405, 0.15568, 0.01015
 0.56585, 0.90899, 0.32868
 0.15831, 0.04278, 0.85451
Initial error, 1686.3855
Final error, 18.1765
Iterations, 1303
funcCount, 1876
Matrix, 3x3, Constraint, No constraints
Optimize, Delta-E 94
Linearization, 9. Linearize input (fit log data), apply matrix, then gamma encode (CS).
Linearization params, 1.3057, 3.0237, 3.2564, 0.1766
weighting, Equal weights

RGBY input primaries
Color,x,y,X,Y,Z
Red, 0.6471, 0.3313, 0.3041, 0.1557, 0.0102
Green, 0.3137, 0.5040, 0.5659, 0.9090, 0.3287
Blue, 0.1500, 0.0405, 0.1583, 0.0428, 0.8545

Differences from reference,mean input,max input,mean corrected,max corrected
DeltaE*ab,  12.31,  22.0,  7.97,  22.8
DeltaC*ab,   7.70,  22.0,  7.16,  22.4
DeltaE*94,   9.60,  15.1,  3.88,   7.4
DeltaC*94,   3.82,   7.8,  2.66,   5.6


Color errors for reference vs matrix-corrected patches   http://www.imatest.com/docs/colorcheck_ref 
Patch,Delta-E*,Delta-C*,Delta-E*94,Delta-C*94,Delta-E*00,Delta-C*00,L* corr,a* corr,b* corr,Row,Col,Weights
  1,   6.88,   6.08,   4.66,   3.37,   4.86,   3.98,  40.75,   8.22,   8.58,1,1,  1.000
  2,   5.67,   5.36,   3.38,   2.83,   3.41,   3.04,  63.34,  12.76,  12.60,1,2,  1.000
  3,   4.15,   2.50,   3.71,   1.69,   3.75,   1.80,  47.06,  -3.36, -19.68,1,3,  1.000
  4,   7.08,   7.08,   3.31,   3.31,   3.77,   3.77,  43.27,  -9.84,  16.91,1,4,  1.000
  5,   4.10,   2.84,   3.34,   1.56,   3.21,   1.50,  52.39,   9.03, -23.81,1,5,  1.000
  6,   8.13,   7.53,   4.37,   3.11,   4.12,   3.42,  74.43, -25.22,   2.33,1,6,  1.000
  7,  17.85,  17.78,   4.94,   4.71,   5.46,   5.31,  62.85,  25.71,  38.88,2,1,  1.000
  8,   7.48,   6.81,   4.44,   3.18,   3.98,   2.93,  37.62,  10.86, -41.95,2,2,  1.000
  9,   1.51,   1.30,   0.93,   0.53,   0.93,   0.53,  49.09,  44.67,  14.18,2,3,  1.000
 10,   5.26,   4.32,   3.55,   1.89,   2.92,   1.82,  27.15,  28.95, -24.15,2,4,  1.000
 11,  20.77,  20.42,   6.50,   5.29,   6.60,   5.99,  76.21, -17.38,  40.71,2,5,  1.000
 12,  18.34,  17.94,   5.90,   4.49,   5.79,   5.04,  74.74,  13.25,  48.76,2,6,  1.000
 13,   7.71,   7.61,   2.84,   2.56,   2.12,   1.90,  28.40,  16.27, -43.43,3,1,  1.000
 14,  18.48,  17.77,   7.40,   5.39,   7.60,   6.06,  60.72, -25.89,  23.54,3,2,  1.000
 15,   2.94,   1.50,   2.65,   0.78,   2.43,   0.84,  43.08,  49.78,  26.95,3,3,  1.000
 16,  22.80,  22.40,   6.70,   5.19,   6.65,   6.01,  85.23,   3.08,  58.01,3,4,  1.000
 17,   2.78,   2.77,   1.49,   1.48,   1.25,   1.24,  50.86,  51.55, -14.72,3,5,  1.000
 18,  13.23,  12.49,   7.06,   5.57,   7.30,   6.01,  56.46, -13.35, -20.76,3,6,  1.000
 19,   3.49,   1.58,   3.48,   1.54,   2.56,   1.81,  99.65,  -1.65,   0.10,4,1,  1.000
 20,   2.58,   0.57,   2.58,   0.56,   1.79,   0.58,  83.79,  -0.46,  -0.79,4,2,  1.000
 21,   2.23,   0.46,   2.23,   0.45,   1.85,   0.64,  68.97,  -0.23,  -0.63,4,3,  1.000
 22,   1.77,   0.52,   1.77,   0.51,   1.83,   0.75,  52.56,   0.44,  -0.11,4,4,  1.000
 23,   2.25,   1.24,   2.23,   1.20,   1.99,   1.22,  37.56,  -0.34,   0.03,4,5,  1.000
 24,   3.74,   2.87,   3.65,   2.75,   3.55,   3.13,  22.87,   1.76,  -3.28,4,6,  1.000


L* a* b* Color errors for reference vs uncorrected and matrix-corrected patches   http://www.imatest.com/docs/colorcheck_ref 
,orig.,orig.,orig.,corrected,corrected,corrected
Patch,Delta-L*,Delta-a*,Delta-b*,Delta-L*,Delta-a*,Delta-b*
  1,  -8.51,   8.95,   3.51,   3.21,  -3.80,  -4.75,1,1,  1.000
  2,  -8.34,   5.63,  -0.61,  -1.86,  -2.06,  -4.95,1,2,  1.000
  3, -14.36,  -2.62,  -7.16,  -3.31,  -1.79,   1.75,1,3,  1.000
  4, -13.20,   3.42,   4.59,   0.14,   4.79,  -5.21,1,4,  1.000
  5, -11.58,   1.20,  -4.91,  -2.95,  -2.42,   1.48,1,5,  1.000
  6,  -7.70,  -1.14,  -2.49,   3.07,   7.49,   0.69,1,6,  1.000
  7,  -4.89,   1.99,   1.23,   1.48,  -7.18, -16.27,2,1,  1.000
  8, -14.48,   7.35,  -9.80,  -3.09,  -6.05,   3.13,2,2,  1.000
  9,  -6.19,  13.10,   9.92,  -0.77,  -1.27,   0.31,2,3,  1.000
 10, -12.80,  10.38,  -4.23,  -3.00,   4.03,  -1.55,2,4,  1.000
 11,  -5.59,  12.02,   0.66,   3.78,  10.08, -17.76,2,5,  1.000
 12,  -3.73,   2.53,   0.66,   3.82,  -2.34, -17.79,2,6,  1.000
 13, -12.68,  12.03,  -6.92,  -1.22,  -5.15,   5.60,3,1,  1.000
 14,  -5.32,   2.97,   3.24,   5.07,  14.87,  -9.73,3,2,  1.000
 15,  -0.48,  11.30,  18.83,   2.53,  -0.20,   1.49,3,3,  1.000
 16,  -5.55,   7.71,  -4.28,   4.25,   4.11, -22.02,3,4,  1.000
 17,  -4.77,  14.46,   0.56,  -0.15,   1.67,   2.21,3,5,  1.000
 18,  -4.44,   8.26,   0.39,   4.34,  11.26,   5.42,3,6,  1.000
 19,  -9.92,   1.47,  -0.86,   3.12,  -0.95,  -1.25,4,1,  1.000
 20,  -6.72,   3.68,  -0.91,   2.52,   0.15,  -0.55,4,2,  1.000
 21,  -5.24,   3.96,  -0.68,   2.18,   0.41,  -0.20,4,3,  1.000
 22,  -7.33,   4.57,  -0.23,   1.69,   0.50,   0.14,4,4,  1.000
 23, -13.56,   2.97,   0.93,   1.88,  -0.12,   1.24,4,5,  1.000
 24, -14.36,   1.94,  -1.52,   2.39,   1.71,  -2.30,4,6,  1.000

Exif data:  3 lines
File Modification Date/Time     , 2020:10:01 05:25:34+03:00
Image Width                     , 2560
Image Height                    , 1920
